Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
65, 524288, 1, 1, 128, 2.68874, 3.85538, N/A, 0.23677, 0.184603, 826.12, 7.54906, 2, 8, 8, 32, 1, 1, 77.6415, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 524288, 1, 1, 256, 2.74406, 3.85538, N/A, 0.360748, 0.346927, 828.97, 8.61965, 2, 8, 8, 16, 1, 1, 67.9981, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 2048, 1, 1, 8, 0.398127, 0.326817, N/A, 0.00351139, 0.00264874, 4.53881, 0.0333612, 2, 2, 0.5, 32, 1, 1, 68.6285, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 2048, 1, 1, 16, 0.398127, 0.326817, N/A, 0.00379167, 0.00352468, 4.45754, 0.0333504, 2, 2, 0.5, 16, 1, 1, 68.6507, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 2048, 1, 1, 20, 0.430188, 0.338916, N/A, 0.00332883, 0.00428965, 4.65402, 0.0320286, 2, 2, 0.3125, 8, 1, 1, 71.9029, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 2048, 1, 1, 28, 0.406802, 0.32781, N/A, 0.00400481, 0.00495112, 4.53846, 0.0344484, 2, 2, 0.4375, 8, 1, 1, 67.2414, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 2048, 1, 1, 32, 0.398127, 0.326817, N/A, 0.0043618, 0.00527332, 4.43714, 0.0347403, 2, 2, 0.5, 8, 1, 1, 65.9042, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 2048, 1, 1, 36, 0.392165, 0.327699, N/A, 0.00466009, 0.00556337, 4.36712, 0.0353824, 2, 2, 0.5625, 8, 1, 1, 64.8345, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 2048, 1, 1, 64, 0.398127, 0.326817, N/A, 0.00547787, 0.00875921, 4.43013, 0.0375387, 2, 2, 0.5, 4, 1, 1, 60.9912, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 2048, 1, 1, 128, 0.398127, 0.326817, N/A, 0.00772272, 0.0157437, 4.45896, 0.0437086, 2, 2, 0.5, 2, 1, 1, 52.3817, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 2048, 1, 1, 256, 0.39492, 0.37047, N/A, 0.0203739, 0.0281932, 4.36553, 0.0825723, 2, 2, 1, 2, 1, 1, 27.7276, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 256, 0.350808, 0.353865, N/A, 0.0196889, 0.0233969, 2.36035, 0.0687037, 2, 2, 1, 2, 1, 1, 16.6623, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 256, 0.350808, 0.353865, N/A, 0.0196889, 0.0233969, 2.36035, 0.0687037, 2, 2, 1, 2, 1, 1, 16.6623, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 65536, 1, 1, 8, 1.22013, 0.828007, N/A, 0.0345377, 0.0143091, 117.071, 0.909844, 2, 4, 2, 128, 1, 1, 80.5248, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 65536, 1, 1, 16, 1.21741, 0.828007, N/A, 0.0362547, 0.018426, 116.094, 0.899434, 2, 4, 2, 64, 1, 1, 81.4567, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 65536, 1, 1, 32, 1.21715, 0.828007, N/A, 0.0401149, 0.027073, 115.662, 0.912215, 2, 4, 2, 32, 1, 1, 80.3154, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 65536, 1, 1, 64, 1.21929, 0.828007, N/A, 0.0483405, 0.0448852, 115.534, 0.956267, 2, 4, 2, 16, 1, 1, 76.6156, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 65536, 1, 1, 128, 1.02928, 1.50476, N/A, 0.0846194, 0.0777086, 107.395, 0.901503, 2, 2, 4, 16, 1, 1, 81.2698, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 65536, 1, 1, 256, 1.20684, 1.12248, N/A, 0.0813121, 0.18996, 115.404, 0.918807, 2, 2, 2, 4, 1, 1, 79.7393, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 8, 0.436772, 0.403642, N/A, 0.00641151, 0.00409056, 8.5604, 0.0677204, 2, 2, 1, 64, 1, 1, 67.6172, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 16, 0.504264, 0.39489, N/A, 0.00514576, 0.00468195, 8.70734, 0.0615463, 2, 2, 0.5, 16, 1, 1, 74.4002, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 20, 0.457425, 0.386031, N/A, 0.00590491, 0.00542125, 8.5569, 0.0616319, 2, 2, 0.625, 16, 1, 1, 74.7322, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 28, 0.441988, 0.394514, N/A, 0.00721986, 0.00669881, 8.38466, 0.0656348, 2, 2, 0.875, 16, 1, 1, 70.5833, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 32, 0.504264, 0.39489, N/A, 0.00571588, 0.00763336, 8.68694, 0.0629362, 2, 2, 0.5, 8, 1, 1, 72.7572, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 28, 0.441988, 0.394514, N/A, 0.00721986, 0.00669881, 8.38466, 0.0656348, 2, 2, 0.875, 16, 1, 1, 70.5833, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 32, 0.504264, 0.39489, N/A, 0.00571588, 0.00763336, 8.68694, 0.0629362, 2, 2, 0.5, 8, 1, 1, 72.7572, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 36, 0.466042, 0.388417, N/A, 0.00630526, 0.00821646, 8.56336, 0.0631717, 2, 2, 0.5625, 8, 1, 1, 72.6276, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 64, 0.504264, 0.39489, N/A, 0.00683196, 0.0135248, 8.67993, 0.0657346, 2, 2, 0.5, 4, 1, 1, 69.6599, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 128, 0.504264, 0.39489, N/A, 0.00907681, 0.0253204, 8.70876, 0.0719045, 2, 2, 0.5, 2, 1, 1, 63.6825, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 64, 0.504264, 0.39489, N/A, 0.00683196, 0.0135248, 8.67993, 0.0657346, 2, 2, 0.5, 4, 1, 1, 69.6599, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 256, 0.436772, 0.403642, N/A, 0.0219447, 0.0379866, 8.36973, 0.1101, 2, 2, 1, 2, 1, 1, 41.59, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 32768, 1, 1, 8, 0.803423, 0.828007, N/A, 0.0292356, 0.00900705, 58.5354, 0.44268, 2, 2, 2, 128, 1, 1, 82.7516, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 32768, 1, 1, 16, 0.803423, 0.828007, N/A, 0.0301777, 0.012349, 58.047, 0.434894, 2, 2, 2, 64, 1, 1, 84.2331, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 32768, 1, 1, 32, 0.803423, 0.828007, N/A, 0.0320534, 0.0190115, 57.8309, 0.435244, 2, 2, 2, 32, 1, 1, 84.1654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 32768, 1, 1, 64, 0.803423, 0.828007, N/A, 0.0358223, 0.0323669, 57.7669, 0.44405, 2, 2, 2, 16, 1, 1, 82.4963, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 32768, 1, 1, 128, 0.803423, 0.828007, N/A, 0.0433607, 0.0590783, 57.8388, 0.46614, 2, 2, 2, 8, 1, 1, 78.5869, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 32768, 1, 1, 256, 0.803423, 0.828007, N/A, 0.058441, 0.112505, 58.0554, 0.511986, 2, 2, 2, 4, 1, 1, 71.5498, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 262144, 1, 1, 8, 2.12832, 1.36154, N/A, 0.0562945, 0.034386, 430.941, 3.62329, 2, 16, 4, 32, 8, 1, 80.8822, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 262144, 1, 1, 16, 2.12562, 1.36154, N/A, 0.0613744, 0.0406939, 430.871, 3.67092, 2, 16, 4, 32, 4, 1, 79.8327, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 262144, 1, 1, 32, 2.13143, 1.36154, N/A, 0.0729293, 0.0544315, 430.422, 3.76035, 2, 16, 4, 16, 4, 1, 77.9342, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 262144, 1, 1, 64, 1.97172, 1.50476, N/A, 0.108863, 0.0827793, 429.196, 3.675, 2, 8, 4, 32, 1, 1, 79.7442, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
