Total network energy = 2.60e+09 pJ
Total network latency = 6.42e+06 cycles
         233503864 function calls (233190351 primitive calls) in 125.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   255794    0.962    0.000    1.478    0.000 data_movement.py:125(__init__)
      744    0.033    0.000    1.469    0.002 axis.py:1294(_update_ticks)
  1158584    0.528    0.000    1.420    0.000 {built-in method builtins.any}
    36542    0.638    0.000    1.393    0.000 Mapping.py:90(combine_spatial_temporal_mapping_dict)
     1246    0.013    0.000    1.329    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
  1402206    0.525    0.000    1.208    0.000 layer_node.py:254(<genexpr>)
   548130    1.026    0.000    1.183    0.000 layer_attributes.py:129(contains_mem_op)
  4604712    1.112    0.000    1.112    0.000 data_movement.py:13(__init__)
   488289    0.773    0.000    1.112    0.000 layer_node.py:52(get_r_or_pr_layer_dims)
        1    0.000    0.000    1.042    1.042 SpatialMappingGeneratorStage.py:1(<module>)
  1754016    1.037    0.000    1.037    0.000 data_movement.py:44(update_single_dir_data)
       31    0.001    0.000    0.999    0.032 nx_pylab.py:51(draw)
       31    0.000    0.000    0.978    0.032 backend_bases.py:1890(draw_idle)
    18271    0.262    0.000    0.930    0.000 MemoryAllocator.py:34(__init__)
    18271    0.380    0.000    0.930    0.000 TemporalMapping.py:112(calc_top_r_and_ir_loop)
   468112    0.409    0.000    0.925    0.000 datatypes.py:68(__init__)
  1954141    0.898    0.000    0.898    0.000 data_movement.py:33(get_single_dir_data)
     1324    0.006    0.000    0.887    0.001 <frozen importlib._bootstrap_external>:1128(get_data)
        1    0.000    0.000    0.860    0.860 VisualizationStage.py:1(<module>)
        1    0.000    0.000    0.855    0.855 memory_hierarchy.py:1(<module>)
   127897    0.316    0.000    0.828    0.000 MemoryAllocator.py:150(get_precision)
      434    0.015    0.000    0.787    0.002 text.py:737(draw)
    36542    0.064    0.000    0.767    0.000 Mapping.py:312(calc_effective_data_size)
   870564    0.509    0.000    0.765    0.000 layer_attributes.py:94(__getitem__)
   233674    0.219    0.000    0.764    0.000 datatypes.py:72(create_r_version)
    91417    0.273    0.000    0.761    0.000 mapping_assist_funcs.py:19(<dictcomp>)
   739424    0.454    0.000    0.750    0.000 reportviews.py:577(__iter__)
   804048    0.520    0.000    0.735    0.000 layer_attributes.py:119(mem_to_layer_op)
  2144361    0.551    0.000    0.733    0.000 memory_level.py:165(__hash__)
   904630    0.488    0.000    0.730    0.000 layer_attributes.py:116(layer_to_mem_op)
    36542    0.380    0.000    0.720    0.000 Mapping.py:124(get_psum_flags)
    18271    0.071    0.000    0.713    0.000 TemporalMapping.py:87(calc_cycle_cabl_level)
        1    0.000    0.000    0.711    0.711 cost_model.py:1(<module>)
    36542    0.162    0.000    0.706    0.000 Mapping.py:227(<dictcomp>)
      527    0.002    0.000    0.682    0.001 axis.py:1590(_get_tick)
    73906    0.180    0.000    0.661    0.000 dag.py:219(<dictcomp>)
      744    0.002    0.000    0.654    0.001 axis.py:1641(get_major_ticks)
        1    0.000    0.000    0.654    0.654 Accelerator.py:1(<module>)
        1    0.000    0.000    0.652    0.652 Core.py:1(<module>)
    36542    0.237    0.000    0.630    0.000 Mapping.py:149(gen_data_precision_dict)
    36542    0.154    0.000    0.629    0.000 Mapping.py:234(<dictcomp>)
   109626    0.221    0.000    0.628    0.000 memory_port.py:63(port_is_shared_by_two_input_operands)
    18333    0.327    0.000    0.626    0.000 SpatialMappingInternal.py:79(calc_unroll_size)
  6286974    0.625    0.000    0.625    0.000 {method 'append' of 'list' objects}
   233674    0.182    0.000    0.623    0.000 datatypes.py:78(create_ir_version)
        1    0.000    0.000    0.621    0.621 pyplot.py:1(<module>)
     1317    0.014    0.000    0.609    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
   467448    0.393    0.000    0.596    0.000 layer_node.py:291(calc_pr_dimension_size)
        1    0.000    0.000    0.595    0.595 MemoryHierarchy.py:1(<module>)
    18333    0.094    0.000    0.589    0.000 SpatialMappingInternal.py:112(<dictcomp>)
    36542    0.147    0.000    0.587    0.000 Mapping.py:283(<dictcomp>)
     1313    0.002    0.000    0.582    0.000 <frozen importlib._bootstrap_external>:1500(find_spec)
     1313    0.005    0.000    0.580    0.000 <frozen importlib._bootstrap_external>:1468(_get_spec)
    36542    0.115    0.000    0.574    0.000 Mapping.py:299(<dictcomp>)
     1640    0.017    0.000    0.565    0.000 <frozen importlib._bootstrap_external>:1608(find_spec)
2708/2600    0.050    0.000    0.555    0.000 {built-in method builtins.__build_class__}
    18270    0.050    0.000    0.545    0.000 std.py:1198(update)
   164439    0.266    0.000    0.528    0.000 memory_level.py:26(__eq__)
    91417    0.208    0.000    0.526    0.000 mapping_assist_funcs.py:23(<dictcomp>)
    54813    0.521    0.000    0.521    0.000 cost_model.py:371(__calc_mem_updating_window_union)
    36542    0.152    0.000    0.510    0.000 Mapping.py:242(<dictcomp>)
  3419978    0.509    0.000    0.509    0.000 {built-in method builtins.round}
      527    0.021    0.000    0.507    0.001 axis.py:65(__init__)
   109626    0.310    0.000    0.501    0.000 Mapping.py:228(<listcomp>)
     1178    0.498    0.000    0.498    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       31    0.001    0.000    0.497    0.016 figure.py:468(add_axes)
